# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861848831176758,0.00363,0.00016,0.00106,0.00000,0.00003,0.00046,0.00535
1403715278.911336898803711,0.00314,0.00010,0.00287,0.00000,0.00699,0.00025,0.01335
1403715278.961119174957275,0.00344,0.00015,0.00028,0.00230,0.00000,0.00019,0.00637
1403715279.010989904403687,0.00314,0.00015,0.00006,0.00263,0.00000,0.00024,0.00621
1403715279.060850620269775,0.00287,0.00019,0.00014,0.00259,0.00000,0.00034,0.00613
1403715279.110873222351074,0.00379,0.00016,0.00052,0.00254,0.00000,0.00035,0.00737
1403715279.160920381546021,0.00312,0.00028,0.00017,0.00273,0.00000,0.00030,0.00661
1403715279.210879564285278,0.00401,0.00017,0.00001,0.00260,0.00000,0.00049,0.00729
1403715279.260877132415771,0.00426,0.00018,0.00008,0.00252,0.00526,0.00042,0.01272
1403715279.310857534408569,0.00363,0.00017,0.00003,0.00304,0.00000,0.00040,0.00727
1403715279.361139774322510,0.00359,0.00016,0.00010,0.00310,0.00635,0.00040,0.01371
1403715279.411114454269409,0.00350,0.00017,0.00094,0.00418,0.00868,0.00040,0.01788
1403715279.461304187774658,0.00337,0.00018,0.00003,0.00603,0.00000,0.00071,0.01032
1403715279.511356353759766,0.00335,0.00042,0.01135,0.00728,0.00146,0.00046,0.02434
1403715279.561322450637817,0.00334,0.00018,0.00018,0.00617,0.00000,0.00046,0.01033
1403715279.611226558685303,0.00326,0.00020,0.00007,0.00587,0.00000,0.00032,0.00971
1403715279.661248207092285,0.00338,0.00025,0.00044,0.00583,0.00142,0.00037,0.01169
1403715279.711198329925537,0.00366,0.00023,0.00004,0.00631,0.00000,0.00044,0.01068
1403715279.761201381683350,0.00310,0.00024,0.00005,0.00636,0.00000,0.00039,0.01014
1403715279.811232566833496,0.00331,0.00021,0.00003,0.00610,0.00000,0.00043,0.01008
1403715279.861192703247070,0.00365,0.00018,0.00004,0.00591,0.00000,0.00037,0.01016
1403715279.911084890365601,0.00323,0.00029,0.00005,0.00703,0.00000,0.00057,0.01117
1403715279.961107969284058,0.00295,0.00018,0.00005,0.00602,0.00003,0.00068,0.00991
1403715280.011088371276855,0.00394,0.00067,0.00008,0.00605,0.00000,0.00060,0.01133
1403715280.060924530029297,0.00339,0.00024,0.00144,0.00676,0.00158,0.00048,0.01388
1403715280.110817909240723,0.00470,0.00022,0.00939,0.00633,0.00005,0.00053,0.02123
1403715280.161232709884644,0.00377,0.00027,0.00004,0.00656,0.00000,0.00068,0.01132
1403715280.211623191833496,0.00453,0.00022,0.00013,0.00593,0.00000,0.00045,0.01126
1403715280.261970758438110,0.00351,0.00020,0.00049,0.00625,0.00049,0.00055,0.01150
1403715280.312173128128052,0.00413,0.00020,0.00005,0.00558,0.00000,0.00035,0.01030
1403715280.362150430679321,0.00385,0.00021,0.00003,0.00567,0.00000,0.00051,0.01027
1403715280.412091493606567,0.00415,0.00027,0.00080,0.00564,0.00022,0.00051,0.01159
1403715280.461998462677002,0.00400,0.00028,0.00006,0.00633,0.00000,0.00058,0.01125
1403715280.511815071105957,0.00434,0.00027,0.00013,0.00708,0.00000,0.00051,0.01233
1403715280.561656236648560,0.00348,0.00019,0.00105,0.00518,0.00000,0.00067,0.01057
1403715280.611672163009644,0.00404,0.00023,0.00022,0.00507,0.00000,0.00042,0.00997
1403715280.661564826965332,0.00338,0.00017,0.00089,0.00538,0.00148,0.00056,0.01187
1403715280.711579084396362,0.00310,0.00018,0.00765,0.00573,0.00690,0.00054,0.02410
