# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861762285232544,0.00511,0.00009,0.00074,0.00000,0.00000,0.00070,0.00664
1403715278.912563323974609,0.00337,0.00008,0.00312,0.00000,0.00764,0.00020,0.01441
1403715278.962441444396973,0.00553,0.00013,0.00033,0.00269,0.00000,0.00029,0.00897
1403715279.011845588684082,0.00331,0.00012,0.00006,0.00250,0.00000,0.00028,0.00627
1403715279.061736822128296,0.00276,0.00012,0.00011,0.00240,0.00000,0.00025,0.00565
1403715279.111780643463135,0.00365,0.00023,0.00047,0.00245,0.00000,0.00035,0.00714
1403715279.161995649337769,0.00273,0.00013,0.00005,0.00353,0.00000,0.00033,0.00676
1403715279.212000131607056,0.00258,0.00014,0.00001,0.00237,0.00000,0.00056,0.00565
1403715279.261837720870972,0.00388,0.00013,0.00001,0.00277,0.00515,0.00044,0.01239
1403715279.311843156814575,0.00229,0.00013,0.00001,0.00343,0.00000,0.00050,0.00636
1403715279.361840963363647,0.00235,0.00013,0.00001,0.00303,0.00621,0.00042,0.01216
1403715279.411886930465698,0.00322,0.00015,0.00076,0.00384,0.00000,0.00044,0.00841
1403715279.461976051330566,0.00418,0.00014,0.00356,0.00482,0.01138,0.00073,0.02482
1403715279.511984586715698,0.00886,0.00018,0.01143,0.00569,0.00005,0.00040,0.02660
1403715279.661881208419800,0.00373,0.00029,0.00003,0.00571,0.00000,0.00051,0.01026
1403715279.711865663528442,0.00291,0.00017,0.00003,0.00653,0.00000,0.00045,0.01009
1403715279.861852645874023,0.00251,0.00025,0.00018,0.00581,0.00003,0.00038,0.00917
1403715279.911771774291992,0.00574,0.00016,0.00004,0.00616,0.00000,0.00040,0.01251
1403715279.961779594421387,0.00363,0.00015,0.00024,0.00627,0.00000,0.00048,0.01077
1403715280.011737585067749,0.00268,0.00015,0.00002,0.00600,0.00000,0.00053,0.00939
1403715280.061612129211426,0.00264,0.00015,0.00001,0.00616,0.00000,0.00049,0.00946
1403715280.111543893814087,0.00268,0.00015,0.00001,0.00566,0.00000,0.00046,0.00896
1403715280.212176561355591,0.00270,0.00020,0.00006,0.00564,0.00011,0.00041,0.00912
1403715280.262653589248657,0.00322,0.00017,0.00075,0.00534,0.00000,0.00077,0.01024
1403715280.312642335891724,0.00336,0.00016,0.00013,0.00524,0.00144,0.00041,0.01074
1403715280.362600564956665,0.00232,0.00015,0.01066,0.00554,0.00013,0.00048,0.01927
1403715280.412488937377930,0.00298,0.00017,0.00043,0.00554,0.00355,0.00034,0.01301
1403715280.512284040451050,0.00308,0.00022,0.00002,0.00632,0.00000,0.00042,0.01008
1403715280.562151432037354,0.00300,0.00017,0.00024,0.00600,0.00000,0.00037,0.00979
1403715280.662128448486328,0.00308,0.00021,0.00016,0.00519,0.00000,0.00038,0.00902
1403715280.712084531784058,0.00389,0.00016,0.00048,0.00516,0.00021,0.00061,0.01050
1403715280.762048244476318,0.00292,0.00016,0.00039,0.00493,0.00000,0.00044,0.00884
1403715280.812026739120483,0.00482,0.00015,0.00084,0.00455,0.00000,0.00046,0.01083
1403715280.862030506134033,0.00353,0.00015,0.00072,0.00542,0.00000,0.00045,0.01027
1403715280.912036895751953,0.00321,0.00019,0.00121,0.00476,0.00004,0.00071,0.01012
1403715281.012022972106934,0.00359,0.00022,0.00062,0.00432,0.00019,0.00048,0.00943
1403715281.062014818191528,0.00315,0.00014,0.00001,0.00404,0.00031,0.00048,0.00813
1403715281.111962080001831,0.00251,0.00013,0.00296,0.00422,0.01469,0.00049,0.02502
1403715281.161995172500610,0.00347,0.00019,0.00065,0.00701,0.00000,0.00066,0.01199
1403715281.212064027786255,0.00447,0.00017,0.00362,0.00517,0.00041,0.00041,0.01425
1403715281.362089157104492,0.00289,0.00026,0.00017,0.00054,0.00000,0.00042,0.00429
1403715281.462212085723877,0.01279,0.00022,0.00167,0.00004,0.00722,0.00043,0.02236
1403715281.512181997299194,0.00573,0.00021,0.00003,0.00561,0.00064,0.00041,0.01262
1403715281.562183618545532,0.00580,0.00019,0.00021,0.00616,0.00000,0.00049,0.01285
1403715281.662197351455688,0.00395,0.00023,0.00031,0.00502,0.00000,0.00054,0.01005
1403715281.712266921997070,0.00363,0.00016,0.00430,0.00427,0.00308,0.00048,0.01592
1403715281.762191057205200,0.00483,0.00016,0.00003,0.00468,0.00000,0.00042,0.01013
1403715281.812214612960815,0.00339,0.00016,0.00022,0.00416,0.00441,0.00052,0.01286
1403715281.862178564071655,0.00331,0.00018,0.00167,0.00489,0.00088,0.00065,0.01158
1403715281.912195920944214,0.00429,0.00020,0.00023,0.00503,0.00357,0.00054,0.01386
1403715281.962090492248535,0.00258,0.00016,0.00630,0.00554,0.00253,0.00046,0.01757
1403715282.012069702148438,0.00491,0.00025,0.00111,0.00614,0.00124,0.00046,0.01410
1403715282.062036275863647,0.00303,0.00018,0.00001,0.00646,0.00000,0.00083,0.01050
1403715282.212042093276978,0.00301,0.00028,0.00131,0.00537,0.00000,0.00048,0.01045
1403715282.262039661407471,0.00544,0.00016,0.00021,0.00518,0.00047,0.00047,0.01193
1403715282.562021970748901,0.00824,0.00045,0.00270,0.00059,0.00000,0.00047,0.01246
1403715282.662021398544312,0.00658,0.00022,0.00121,0.00011,0.00325,0.00048,0.01186
1403715282.711995363235474,0.00354,0.00015,0.00476,0.00404,0.00255,0.00053,0.01557
1403715282.811959266662598,0.01587,0.00026,0.00004,0.00454,0.00000,0.00067,0.02139
1403715282.861918449401855,0.00549,0.00016,0.00005,0.00458,0.00000,0.00050,0.01079
1403715282.911900043487549,0.00767,0.00016,0.00023,0.00449,0.00014,0.00065,0.01334
1403715282.961899280548096,0.00656,0.00015,0.00056,0.00428,0.00000,0.00053,0.01209
1403715283.111891746520996,0.01422,0.00027,0.00130,0.00421,0.00193,0.00051,0.02243
1403715283.161878108978271,0.01532,0.00015,0.00079,0.00439,0.00114,0.00054,0.02233
1403715283.411751508712769,0.00373,0.00040,0.00105,0.00364,0.00000,0.00086,0.00968
1403715283.661774396896362,0.01775,0.00038,0.00016,0.00217,0.00019,0.00050,0.02115
1403715283.711796283721924,0.00444,0.00014,0.00074,0.00305,0.00072,0.00148,0.01057
1403715283.811943769454956,0.00373,0.00019,0.00397,0.00313,0.01742,0.00079,0.02923
1403715283.861956596374512,0.00355,0.00018,0.00029,0.00647,0.00000,0.00054,0.01103
1403715284.062052726745605,0.01472,0.00033,0.00660,0.00562,0.00241,0.00049,0.03018
1403715284.112076044082642,0.00293,0.00026,0.00049,0.00770,0.00000,0.00049,0.01187
1403715284.262016534805298,0.00334,0.00027,0.00010,0.00782,0.00000,0.00053,0.01207
1403715284.311995267868042,0.00255,0.00016,0.00031,0.00626,0.00000,0.00047,0.00974
1403715284.362029075622559,0.00276,0.00017,0.00039,0.00656,0.00000,0.00053,0.01042
1403715284.462077856063843,0.00342,0.00025,0.00421,0.00600,0.00139,0.00055,0.01582
1403715284.512095928192139,0.00772,0.00021,0.00166,0.00609,0.00036,0.00042,0.01647
1403715284.562105178833008,0.00481,0.00017,0.00001,0.00662,0.00000,0.00047,0.01208
1403715284.712131023406982,0.00411,0.00028,0.00915,0.00637,0.00000,0.00047,0.02037
1403715284.762152671813965,0.01064,0.00018,0.00003,0.00672,0.00000,0.00081,0.01838
1403715284.812162637710571,0.00905,0.00247,0.00407,0.00664,0.00000,0.00048,0.02271
1403715285.012195110321045,0.00847,0.00032,0.00013,0.00561,0.00000,0.00042,0.01496
1403715285.062204360961914,0.01284,0.00017,0.00606,0.00562,0.00257,0.00042,0.02769
1403715285.112216472625732,0.00258,0.00020,0.00001,0.00604,0.00000,0.00059,0.00943
1403715285.212212324142456,0.00280,0.00021,0.00001,0.00062,0.00000,0.00035,0.00399
1403715285.262207746505737,0.00737,0.00028,0.00163,0.00010,0.00395,0.00040,0.01374
1403715285.312217235565186,0.00244,0.00018,0.00001,0.00536,0.00000,0.00037,0.00835
1403715285.462261438369751,0.00293,0.00027,0.00012,0.00432,0.00090,0.00039,0.00893
1403715285.562275409698486,0.00733,0.00023,0.00019,0.00483,0.00000,0.00044,0.01303
1403715285.612258911132812,0.00247,0.00018,0.00003,0.00444,0.00000,0.00044,0.00756
1403715285.662257909774780,0.00282,0.00015,0.00145,0.00422,0.00203,0.00077,0.01144
1403715285.712232112884521,0.00464,0.00016,0.00001,0.00476,0.00000,0.00044,0.01002
1403715285.762228250503540,0.00379,0.00014,0.00012,0.00433,0.00097,0.00047,0.00984
1403715285.812227487564087,0.00352,0.00016,0.00020,0.00466,0.00000,0.00051,0.00905
1403715285.862153053283691,0.00879,0.00016,0.00008,0.00393,0.00515,0.00081,0.01893
1403715285.912150382995605,0.00522,0.00015,0.00070,0.00524,0.00000,0.00052,0.01185
1403715286.062147617340088,0.00270,0.00025,0.00053,0.00503,0.00000,0.00085,0.00936
1403715286.112147092819214,0.00276,0.00014,0.00044,0.00519,0.00613,0.00050,0.01516
1403715286.162145614624023,0.00304,0.00016,0.00010,0.00589,0.00000,0.00055,0.00974
1403715286.362133026123047,0.00295,0.00032,0.00376,0.00488,0.00351,0.00050,0.01592
1403715286.612133741378784,0.00331,0.00038,0.00026,0.00564,0.00000,0.00048,0.01008
1403715286.662134408950806,0.00336,0.00015,0.00018,0.00399,0.00001,0.00046,0.00815
1403715286.712114334106445,0.00375,0.00014,0.00066,0.00620,0.00860,0.00052,0.01988
1403715286.762119293212891,0.00319,0.00017,0.00024,0.00577,0.00000,0.00052,0.00990
1403715286.912086725234985,0.00301,0.00025,0.00057,0.00350,0.00359,0.00048,0.01139
1403715286.962034940719604,0.00743,0.00015,0.00540,0.00404,0.00928,0.00056,0.02686
1403715287.012039422988892,0.01290,0.00016,0.00393,0.00595,0.00127,0.00044,0.02465
