# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1520530314.799891233444214,0.00261,0.00009,0.00094,0.00000,0.00000,0.00030,0.00395
1520530314.850015878677368,0.00305,0.00009,0.00452,0.00000,0.00000,0.00031,0.00798
1520530314.900236368179321,0.00321,0.00010,0.00170,0.00000,0.00000,0.00033,0.00534
1520530314.950494050979614,0.00309,0.00010,0.00023,0.00000,0.00000,0.00029,0.00371
1520530315.000484704971313,0.00359,0.00010,0.00037,0.00000,0.00000,0.00030,0.00437
1520530315.050353050231934,0.00327,0.00010,0.00044,0.00000,0.00000,0.00034,0.00415
1520530315.100579738616943,0.00287,0.00010,0.00070,0.00000,0.00000,0.00039,0.00406
1520530315.150610446929932,0.00290,0.00011,0.00010,0.00000,0.00000,0.00049,0.00360
1520530315.200326681137085,0.00259,0.00010,0.00166,0.00000,0.00000,0.00049,0.00484
1520530315.249876260757446,0.00253,0.00010,0.00138,0.00000,0.00000,0.00048,0.00450
1520530315.299012422561646,0.00245,0.00010,0.00420,0.00000,0.00000,0.00054,0.00729
1520530315.349010705947876,0.00252,0.00010,0.00014,0.00000,0.00000,0.00046,0.00321
1520530315.399110078811646,0.00325,0.00012,0.00174,0.00000,0.00000,0.00052,0.00563
1520530315.449075937271118,0.00267,0.00010,0.01467,0.00000,0.00000,0.00050,0.01795
1520530315.499073028564453,0.00278,0.00011,0.00145,0.00000,0.00000,0.00054,0.00488
1520530315.549107313156128,0.00300,0.00010,0.00357,0.00000,0.00000,0.00049,0.00716
1520530315.599197626113892,0.00313,0.00010,0.00278,0.00000,0.00000,0.00049,0.00649
1520530315.649378299713135,0.00336,0.00012,0.00185,0.00000,0.00000,0.00045,0.00578
1520530315.699303627014160,0.00316,0.00010,0.00296,0.00000,0.00000,0.00055,0.00677
1520530315.749458789825439,0.01056,0.00010,0.00196,0.00000,0.00000,0.00047,0.01309
1520530315.799501180648804,0.00318,0.00011,0.00203,0.00000,0.00000,0.00055,0.00587
1520530315.849543333053589,0.00323,0.00010,0.00044,0.00000,0.00142,0.00048,0.00567
1520530315.899484634399414,0.00379,0.00011,0.00035,0.00009,0.00400,0.00045,0.00878
1520530315.949552536010742,0.01065,0.00011,0.00062,0.00039,0.00000,0.00051,0.01229
1520530315.999513149261475,0.00319,0.00011,0.00028,0.00035,0.00086,0.00046,0.00526
1520530316.049188852310181,0.00341,0.00012,0.00034,0.00044,0.02315,0.00044,0.02790
1520530316.099777460098267,0.00346,0.00015,0.00092,0.00313,0.00355,0.00042,0.01163
1520530316.149712324142456,0.00351,0.00015,0.00076,0.00380,0.00431,0.00042,0.01295
1520530316.199719667434692,0.00384,0.00016,0.00048,0.00444,0.00114,0.00043,0.01049
1520530316.249759912490845,0.00347,0.00016,0.00044,0.00450,0.00460,0.00044,0.01361
1520530316.299798965454102,0.00339,0.00017,0.00111,0.00556,0.00584,0.00046,0.01653
1520530316.349824905395508,0.00367,0.00018,0.00354,0.00685,0.00136,0.00044,0.01605
1520530316.399842023849487,0.00317,0.00028,0.00348,0.00718,0.00000,0.00054,0.01465
1520530316.449851036071777,0.00355,0.00019,0.00333,0.00680,0.00000,0.00063,0.01449
1520530316.499852895736694,0.01552,0.00021,0.00030,0.00671,0.00000,0.00044,0.02318
1520530316.549870014190674,0.00327,0.00017,0.00007,0.00673,0.00000,0.00045,0.01070
1520530316.599838972091675,0.00304,0.00017,0.00075,0.00643,0.00215,0.00070,0.01324
1520530316.649808406829834,0.00297,0.00017,0.00075,0.00615,0.00020,0.00044,0.01070
1520530316.699826002120972,0.00246,0.00017,0.00378,0.00599,0.00279,0.00054,0.01572
1520530316.749794244766235,0.00432,0.00021,0.00102,0.00874,0.00000,0.00074,0.01503
1520530316.799761533737183,0.00280,0.00018,0.00390,0.00617,0.00118,0.00068,0.01491
1520530316.849727869033813,0.00322,0.00018,0.00030,0.00735,0.00000,0.00051,0.01155
1520530316.899697065353394,0.00303,0.00017,0.00071,0.00591,0.00000,0.00054,0.01036
1520530316.949155330657959,0.00330,0.00018,0.00221,0.00525,0.00268,0.00043,0.01405
1520530316.999142169952393,0.00353,0.00018,0.00054,0.00628,0.00226,0.00052,0.01330
1520530317.049138069152832,0.00377,0.00017,0.00023,0.00640,0.00000,0.00041,0.01099
1520530317.099121809005737,0.00309,0.00017,0.00319,0.00601,0.00241,0.00042,0.01527
1520530317.149118661880493,0.00356,0.00017,0.00169,0.00720,0.00000,0.00084,0.01346
1520530317.199124574661255,0.00315,0.00019,0.00157,0.00660,0.00078,0.00042,0.01271
1520530317.249139785766602,0.00481,0.00022,0.00129,0.00687,0.00000,0.00056,0.01374
1520530317.299151659011841,0.00303,0.00018,0.00381,0.00619,0.00000,0.00047,0.01368
1520530317.349146127700806,0.00340,0.00017,0.00037,0.00528,0.00231,0.00053,0.01207
1520530317.399181365966797,0.00348,0.00017,0.00114,0.00589,0.00295,0.00052,0.01415
1520530317.449193477630615,0.00316,0.00017,0.00052,0.00640,0.00000,0.00049,0.01074
1520530317.499197959899902,0.00322,0.00016,0.00172,0.00543,0.00315,0.00061,0.01430
1520530317.549208641052246,0.00308,0.00019,0.00219,0.00534,0.00023,0.00055,0.01158
1520530317.599222898483276,0.00306,0.00016,0.00019,0.00503,0.00000,0.00043,0.00887
1520530317.649254798889160,0.00337,0.00019,0.00173,0.00489,0.00000,0.00046,0.01064
1520530317.699261426925659,0.00325,0.00016,0.00070,0.00445,0.00577,0.00067,0.01499
1520530317.749753236770630,0.00378,0.00017,0.00093,0.00516,0.00001,0.00049,0.01054
1520530317.799757242202759,0.00348,0.00016,0.00043,0.00503,0.00480,0.00052,0.01443
